               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.020109,            0.015658,            0.020134,             0.76593,             0.78015,             0.81978,             0.71023,            0.012983,           0.0063198,           0.0089618,            0.007927,            0.007927,            0.007927
                  36,            0.020066,            0.015596,            0.020033,              0.7827,             0.76489,             0.82013,             0.71086,             0.01296,           0.0063078,           0.0088931,            0.007816,            0.007816,            0.007816
                  37,            0.020075,            0.015538,            0.020013,             0.78764,             0.76064,             0.82074,             0.71156,            0.012954,           0.0062978,           0.0088662,           0.0077031,           0.0077031,           0.0077031
                  38,            0.019963,            0.015498,            0.019908,             0.79471,             0.75857,             0.82175,             0.71312,            0.012946,           0.0062834,            0.008841,           0.0075886,           0.0075886,           0.0075886
                  39,            0.019935,            0.015525,            0.019814,             0.79018,             0.76744,             0.82321,             0.71477,            0.012939,           0.0062688,           0.0087616,           0.0074725,           0.0074725,           0.0074725
                  40,            0.019805,            0.015412,            0.019659,             0.78959,             0.76546,              0.8232,             0.71493,             0.01292,           0.0062688,           0.0087293,            0.007355,            0.007355,            0.007355
                  41,            0.019781,            0.015417,             0.01957,             0.78211,             0.77302,             0.82354,             0.71545,            0.012895,           0.0062651,             0.00874,           0.0072361,           0.0072361,           0.0072361
                  42,            0.019786,            0.015387,            0.019484,             0.78655,             0.77269,             0.82454,             0.71677,            0.012885,           0.0062566,           0.0087209,            0.007116,            0.007116,            0.007116
                  43,            0.019712,            0.015387,            0.019507,             0.79409,             0.76488,             0.82509,             0.71719,            0.012878,           0.0062487,           0.0087291,           0.0069948,           0.0069948,           0.0069948
                  44,            0.019674,            0.015318,            0.019453,             0.78791,             0.77117,             0.82551,             0.71794,             0.01287,           0.0062383,           0.0087175,           0.0068726,           0.0068726,           0.0068726
                  45,            0.019616,            0.015305,            0.019252,             0.81127,             0.75128,              0.8263,              0.7187,            0.012862,           0.0062314,           0.0087034,           0.0067495,           0.0067495,           0.0067495
                  46,             0.01962,            0.015247,            0.019173,             0.80133,             0.76015,             0.82653,             0.71898,            0.012844,           0.0062267,           0.0086708,           0.0066257,           0.0066257,           0.0066257
                  47,            0.019472,            0.015169,            0.019122,             0.79778,             0.76244,             0.82699,              0.7193,            0.012833,           0.0062194,           0.0086393,           0.0065013,           0.0065013,           0.0065013
                  48,            0.019482,            0.015158,             0.01899,             0.79807,             0.76395,             0.82727,             0.71952,            0.012819,           0.0062215,           0.0086672,           0.0063764,           0.0063764,           0.0063764
                  49,            0.019479,            0.015184,            0.018986,             0.79501,             0.77065,             0.82763,             0.71958,            0.012818,           0.0062196,           0.0086667,           0.0062512,           0.0062512,           0.0062512
                  50,            0.019437,             0.01512,            0.018806,             0.78948,             0.77949,             0.82874,             0.72044,            0.012808,           0.0062141,            0.008638,           0.0061256,           0.0061256,           0.0061256
                  51,            0.019322,            0.015034,             0.01878,             0.79406,              0.7766,             0.82942,             0.72105,            0.012804,           0.0062005,           0.0086227,               0.006,               0.006,               0.006
                  52,            0.019236,            0.014983,            0.018596,             0.79195,             0.77643,             0.82891,             0.72139,             0.01279,           0.0061953,           0.0086005,           0.0058744,           0.0058744,           0.0058744
                  53,            0.019162,            0.014971,            0.018602,              0.8034,             0.76487,              0.8285,             0.72152,            0.012767,           0.0061905,           0.0086028,           0.0057488,           0.0057488,           0.0057488
                  54,            0.019127,            0.014903,            0.018479,              0.7893,             0.77803,             0.82947,             0.72238,            0.012739,           0.0061867,           0.0085414,           0.0056236,           0.0056236,           0.0056236
                  55,            0.019068,             0.01489,             0.01841,             0.79452,              0.7728,             0.82946,             0.72243,            0.012713,           0.0061844,           0.0084998,           0.0054987,           0.0054987,           0.0054987
